Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5",0603,4,10uF,C19702
"C10, C14, C15, C16, C20, C21, C22, C8, C9",0805,9,4u7/25V,C1779
"C11, C12, C13, C24, C25",0402,5,100nF,C1525
"C17, C18, C19, C23",0603,4,1uF/50V,C15849
"C2, C7",0402,2,1uF,C52923
C6,0603,1,2u2,C23630
"D1, D2, D3",D_SOD-123,3,MBR0530,C77336
IC1,QFN50P500X500X90-33N,1,NPM1300-QEAA-R,C7466043
IC2,ST-SiP-LGA-86-11x7.3mm,1,STM32WB5MMGH6TR,C5184586
J03,FPC-SMD_24P-P0.50_HC-FPC-05-09-24RLTAG,1,HC-FPC-05-09-24RLTAG,C5213757
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02_Socket,C295747
J4,FPC-SMD_AFC01-S06FCC-00,1,JUSHUO AFC01-S06FCC-00,C262262
L1,IND-SMD_L2.0-W1.6,1,2.2uH,C71386 
L2,L_Sunlord_SWPA4030S,1,10uH1A,C38117
Q1,SOT-323_SC-70,1,Si1308EDL,C7603347
R1,0603,1,330K,C23137
"R2, R5, R8",0603,3,10K,C25804 
R3,0603,1,0R47,C23411
"R6, R7",0603,2,4R7,C23164 
SW2,KEY-SMD_4P-SKSCLXX010,1,SKSCLBE010,C115361
TH1,0402,1,NTC 10K,C77131
U1,SOT-23-6,1,USBLC6-2SC6,C2687116
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
